Date,Not indexed,Indexed,Impressions
2026-02-11,,,1451
2026-02-12,,,2055
2026-02-13,141,65,3298
2026-02-14,143,65,1758
2026-02-15,143,65,1380
2026-02-16,143,65,1114
2026-02-17,143,65,1146
2026-02-18,143,65,1579
2026-02-19,143,65,1976
2026-02-20,143,65,2913
2026-02-21,145,64,1809
2026-02-22,145,64,1246
2026-02-23,145,64,1179
2026-02-24,143,65,1148
2026-02-25,143,65,1401
2026-02-26,143,65,1926
2026-02-27,143,65,2636
2026-02-28,143,65,1709
2026-03-01,143,65,980
2026-03-02,143,65,962
2026-03-03,141,66,1018
2026-03-04,141,66,1402
2026-03-05,141,66,1799
2026-03-06,141,66,3274
2026-03-07,141,66,1646
2026-03-08,141,66,1190
2026-03-09,141,66,937
2026-03-10,137,66,1251
2026-03-11,137,66,1335
2026-03-12,137,66,1913
2026-03-13,137,66,2644
2026-03-14,137,66,1730
2026-03-15,135,66,1215
2026-03-16,135,66,1221
2026-03-17,129,66,1089
2026-03-18,129,66,1007
2026-03-19,129,66,1504
2026-03-20,129,66,1926
2026-03-21,123,66,1385
2026-03-22,123,66,1021
2026-03-23,123,66,1062
2026-03-24,107,66,1088
2026-03-25,107,66,991
2026-03-26,107,66,1693
2026-03-27,107,66,2124
2026-03-28,107,66,1515
2026-03-29,107,66,1146
2026-03-30,107,66,1458
2026-03-31,112,66,1481
2026-04-01,112,66,1779
2026-04-02,112,66,2133
2026-04-03,112,66,2300
2026-04-04,112,66,1107
2026-04-05,112,66,1022
2026-04-06,110,66,982
2026-04-07,110,66,1072
2026-04-08,110,66,1062
2026-04-09,110,66,1510
2026-04-10,86,67,2028
2026-04-11,86,67,1230
2026-04-12,86,67,914
2026-04-13,87,66,856
2026-04-14,87,66,1010
2026-04-15,87,66,1032
2026-04-16,87,66,1376
2026-04-17,88,66,2085
2026-04-18,88,66,1323
2026-04-19,88,66,839
2026-04-20,85,66,1224
2026-04-21,85,66,2105
2026-04-22,85,66,854
2026-04-23,85,66,1278
2026-04-24,87,65,1577
2026-04-25,87,65,1084
2026-04-26,87,65,854
2026-04-27,87,65,848
2026-04-28,87,65,1609
2026-04-29,87,65,896
2026-04-30,87,65,1281
2026-05-01,88,64,1700
2026-05-02,88,64,1257
2026-05-03,88,64,782
2026-05-04,87,64,854
2026-05-05,87,64,839
2026-05-06,87,64,953
2026-05-07,87,64,1205
